"Anno accademico","Ateneo","Classe","Immatricolati","Area","Città","Provincia","Regione","Area geografica","Tipo","Fondazione"
"2003/2004","Libera Univ. Inter.le Studi Sociali Guido Carli LUISS-ROMA","14 - Scienze della comunicazione",53,"Sociale","Roma","Roma","Lazio","Centro","Privata",1974
"2003/2004","Libera Univ. Inter.le Studi Sociali Guido Carli LUISS-ROMA","15 - Scienze politiche e delle relazioni internazionali",121,"Sociale","Roma","Roma","Lazio","Centro","Privata",1974
"2003/2004","Libera Univ. Inter.le Studi Sociali Guido Carli LUISS-ROMA","17 - Scienze dell'economia e della gestione aziendale",348,"Sociale","Roma","Roma","Lazio","Centro","Privata",1974
"2003/2004","Libera Univ. Inter.le Studi Sociali Guido Carli LUISS-ROMA","28 - Scienze economiche",95,"Sociale","Roma","Roma","Lazio","Centro","Privata",1974
"2003/2004","Libera Univ. Inter.le Studi Sociali Guido Carli LUISS-ROMA","31 - Scienze giuridiche",466,"Sociale","Roma","Roma","Lazio","Centro","Privata",1974
"2003/2004","Libera Università Vita Salute S.Raffaele MILANO","1 - Biotecnologie",32,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1996
"2003/2004","Libera Università Vita Salute S.Raffaele MILANO","29 - Filosofia",72,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1996
"2003/2004","Libera Università Vita Salute S.Raffaele MILANO","34 - Scienze e tecniche psicologiche",50,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1996
"2003/2004","Libera Università Vita Salute S.Raffaele MILANO","46/S - Specialistiche in medicina e chirurgia",68,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1996
"2003/2004","Libera Università Vita Salute S.Raffaele MILANO","SNT/1 - Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",64,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1996
"2003/2004","Libera Università Vita Salute S.Raffaele MILANO","SNT/2 - Professioni sanitarie della riabilitazione",23,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1996
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","11 - Lingue e culture moderne",26,"Umanistica","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","14 - Scienze della comunicazione",227,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","15 - Scienze politiche e delle relazioni internazionali",42,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","17 - Scienze dell'economia e della gestione aziendale",97,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","18 - Scienze dell'educazione e della formazione",175,"Umanistica","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","19 - Scienze dell'amministrazione",40,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","2 - Scienze dei servizi giuridici",26,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","29 - Filosofia",5,"Umanistica","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","31 - Scienze giuridiche",202,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","34 - Scienze e tecniche psicologiche",132,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","39 - Scienze del turismo",31,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","5 - Lettere",15,"Umanistica","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università degli Studi Maria SS.Assunta Roma","6 - Scienze del servizio sociale",18,"Sociale","Roma","Roma","Lazio","Centro","Privata",1939
"2003/2004","Libera Università di BOLZANO","17 - Scienze dell'economia e della gestione aziendale",89,"Sociale","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di BOLZANO","18 - Scienze dell'educazione e della formazione",298,"Umanistica","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di BOLZANO","20 - Scienze e tecnologie agrarie, agroalimentari e forestali",18,"Scientifica","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di BOLZANO","26 - Scienze e tecnologie informatiche",38,"Scientifica","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di BOLZANO","39 - Scienze del turismo",33,"Sociale","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di BOLZANO","42 - Disegno industriale",52,"Scientifica","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di BOLZANO","6 - Scienze del servizio sociale",18,"Sociale","Bolzano","Bolzano","Alto Adige","Nord","Pubblica - Privata",1997
"2003/2004","Libera Università di lingue e comunicazione IULM-MI","14 - Scienze della comunicazione",954,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1968
"2003/2004","Libera Università di lingue e comunicazione IULM-MI","23 - Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",51,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1968
"2003/2004","Libera Università di lingue e comunicazione IULM-MI","3 - Scienze della mediazione linguistica",129,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1968
"2003/2004","Libera Università di lingue e comunicazione IULM-MI","39 - Scienze del turismo",140,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1968
"2003/2004","Politecnico di BARI","10 - Ingegneria industriale",597,"Scientifica","Bari","Bari","Puglia","Sud","Pubblica",1990
"2003/2004","Politecnico di BARI","4 - Scienze dell'architettura e dell'ingegneria edile",179,"Scientifica","Bari","Bari","Puglia","Sud","Pubblica",1990
"2003/2004","Politecnico di BARI","4/S - Specialistiche in architettura e ingegneria edile",215,"Scientifica","Bari","Bari","Puglia","Sud","Pubblica",1990
"2003/2004","Politecnico di BARI","42 - Disegno industriale",40,"Scientifica","Bari","Bari","Puglia","Sud","Pubblica",1990
"2003/2004","Politecnico di BARI","8 - Ingegneria civile e ambientale",347,"Scientifica","Bari","Bari","Puglia","Sud","Pubblica",1990
"2003/2004","Politecnico di BARI","9 - Ingegneria dell'informazione",433,"Scientifica","Bari","Bari","Puglia","Sud","Pubblica",1990
"2003/2004","Politecnico di MILANO","10 - Ingegneria industriale",1310,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di MILANO","4 - Scienze dell'architettura e dell'ingegneria edile",1847,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di MILANO","4/S - Specialistiche in architettura e ingegneria edile",93,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di MILANO","42 - Disegno industriale",626,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di MILANO","7 - Urbanistica e scienze della pianificazione territoriale e ambientale",137,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di MILANO","8 - Ingegneria civile e ambientale",515,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di MILANO","9 - Ingegneria dell'informazione",2312,"Scientifica","Milano","Milano","Lombardia","Nord","Pubblica",1863
"2003/2004","Politecnico di TORINO","10 - Ingegneria industriale",1360,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Politecnico di TORINO","32 - Scienze matematiche",26,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Politecnico di TORINO","4 - Scienze dell'architettura e dell'ingegneria edile",757,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Politecnico di TORINO","42 - Disegno industriale",180,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Politecnico di TORINO","7 - Urbanistica e scienze della pianificazione territoriale e ambientale",31,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Politecnico di TORINO","8 - Ingegneria civile e ambientale",348,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Politecnico di TORINO","9 - Ingegneria dell'informazione",1042,"Scientifica","Torino","Torino","Piemonte","Nord","Pubblica",1859
"2003/2004","Seconda Università degli Studi di NAPOLI","1 - Biotecnologie",252,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","10 - Ingegneria industriale",105,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","12 - Scienze biologiche",283,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","13 - Scienze dei beni culturali",182,"Umanistica","Napoli","Napoli","Campania","Sud","Pubblica",1991
